[2025-03-17T06:23:23.956Z] [error]: HIDE::500::TypeError::(0 , import_cart2.getCartUpsert) is not a function::
[2025-03-17T06:28:00.018Z] [error]: Client must be connected before running operations
[2025-03-17T06:28:00.020Z] [error]: Client must be connected before running operations
[2025-03-17T06:29:00.003Z] [error]: Client must be connected before running operations
[2025-03-17T06:29:00.005Z] [error]: Client must be connected before running operations
[2025-03-17T06:30:00.062Z] [error]: Client must be connected before running operations
[2025-03-17T06:30:00.064Z] [error]: Client must be connected before running operations
[2025-03-17T06:31:00.062Z] [error]: Client must be connected before running operations
[2025-03-17T06:31:00.064Z] [error]: Client must be connected before running operations
[2025-03-17T06:32:00.059Z] [error]: Client must be connected before running operations
[2025-03-17T06:32:00.060Z] [error]: Client must be connected before running operations
[2025-03-17T06:33:00.059Z] [error]: Client must be connected before running operations
[2025-03-17T06:33:00.061Z] [error]: Client must be connected before running operations
[2025-03-17T06:34:00.047Z] [error]: Client must be connected before running operations
[2025-03-17T06:34:00.049Z] [error]: Client must be connected before running operations
[2025-03-17T06:35:00.045Z] [error]: Client must be connected before running operations
[2025-03-17T06:35:00.047Z] [error]: Client must be connected before running operations
[2025-03-17T06:36:00.062Z] [error]: Client must be connected before running operations
[2025-03-17T06:36:00.064Z] [error]: Client must be connected before running operations
[2025-03-17T06:37:00.062Z] [error]: Client must be connected before running operations
[2025-03-17T06:37:00.063Z] [error]: Client must be connected before running operations
[2025-03-17T06:38:00.061Z] [error]: Client must be connected before running operations
[2025-03-17T06:38:00.063Z] [error]: Client must be connected before running operations
[2025-03-17T06:39:00.062Z] [error]: Client must be connected before running operations
[2025-03-17T06:39:00.064Z] [error]: Client must be connected before running operations
[2025-03-17T06:40:00.058Z] [error]: Client must be connected before running operations
[2025-03-17T06:40:00.062Z] [error]: Client must be connected before running operations
[2025-03-17T06:41:00.039Z] [error]: Client must be connected before running operations
[2025-03-17T06:41:00.042Z] [error]: Client must be connected before running operations
[2025-03-17T06:42:00.038Z] [error]: Client must be connected before running operations
[2025-03-17T06:42:00.040Z] [error]: Client must be connected before running operations
[2025-03-17T06:43:00.062Z] [error]: Client must be connected before running operations
[2025-03-17T06:43:00.063Z] [error]: Client must be connected before running operations
[2025-03-17T06:44:00.054Z] [error]: Client must be connected before running operations
[2025-03-17T06:44:00.055Z] [error]: Client must be connected before running operations
[2025-03-17T06:45:00.061Z] [error]: Client must be connected before running operations
[2025-03-17T06:45:00.063Z] [error]: Client must be connected before running operations
[2025-03-17T06:46:00.062Z] [error]: Client must be connected before running operations
[2025-03-17T06:46:00.063Z] [error]: Client must be connected before running operations
[2025-03-17T06:47:00.058Z] [error]: Client must be connected before running operations
[2025-03-17T06:47:00.060Z] [error]: Client must be connected before running operations
[2025-03-17T06:48:00.002Z] [error]: Client must be connected before running operations
[2025-03-17T06:48:00.003Z] [error]: Client must be connected before running operations
[2025-03-17T06:49:00.062Z] [error]: Client must be connected before running operations
[2025-03-17T06:49:00.064Z] [error]: Client must be connected before running operations
[2025-03-17T06:50:00.064Z] [error]: Client must be connected before running operations
[2025-03-17T06:50:00.068Z] [error]: Client must be connected before running operations
[2025-03-17T06:50:38.616Z] [error]: HIDE::404::NotFound::Route not exist!::
[2025-03-17T06:51:00.063Z] [error]: Client must be connected before running operations
[2025-03-17T06:51:00.065Z] [error]: Client must be connected before running operations
[2025-03-17T06:52:00.063Z] [error]: Client must be connected before running operations
[2025-03-17T06:52:00.065Z] [error]: Client must be connected before running operations
[2025-03-17T06:52:01.828Z] [error]: HIDE::404::NotFound::Token not found!::
[2025-03-17T06:52:06.804Z] [error]: HIDE::404::NotFound::Key token not found!::
[2025-03-17T06:52:15.568Z] [error]: HIDE::404::NotFound::Token not found!::
[2025-03-17T06:52:17.026Z] [error]: HIDE::404::NotFound::Token not found!::
[2025-03-17T06:52:26.714Z] [error]: HIDE::404::NotFound::Token not found!::
[2025-03-17T06:52:27.873Z] [error]: HIDE::404::NotFound::Token not found!::
[2025-03-17T06:52:34.020Z] [error]: HIDE::404::NotFound::Route not exist!::
[2025-03-17T06:52:55.156Z] [error]: HIDE::404::NotFound::Route not exist!::
[2025-03-17T06:53:00.058Z] [error]: Client must be connected before running operations
