[2025-03-25T00:22:10.395Z] [error]: HIDE::500::MongoServerError::Cannot do exclusion on field __v in inclusion projection::
[2025-03-25T00:24:30.390Z] [error]: HIDE::500::MongoServerError::Cannot do exclusion on field __v in inclusion projection::
[2025-03-25T01:23:25.871Z] [error]: HIDE::404::NotFound::Token not found!::
[2025-03-25T01:23:34.471Z] [error]: HIDE::404::NotFound::Key token not found!::
[2025-03-25T01:23:44.919Z] [error]: HIDE::404::NotFound::Token not found!::
[2025-03-25T01:23:46.586Z] [error]: HIDE::404::NotFound::Token not found!::
[2025-03-25T01:24:22.821Z] [error]: HIDE::500::ValidationError::"provinceId" is required::
[2025-03-25T01:24:36.458Z] [error]: HIDE::500::ValidationError::"provinceId" length must be 24 characters long::
[2025-03-25T01:28:29.571Z] [error]: HIDE::500::ValidationError::"districtId" is required::
[2025-03-25T02:52:00.013Z] [error]: Client must be connected before running operations
[2025-03-25T02:52:00.014Z] [error]: Client must be connected before running operations
[2025-03-25T02:53:00.056Z] [error]: Client must be connected before running operations
[2025-03-25T02:53:00.057Z] [error]: Client must be connected before running operations
[2025-03-25T02:53:41.895Z] [error]: HIDE::404::NotFound::Route not exist!::
[2025-03-25T02:54:00.022Z] [error]: Client must be connected before running operations
[2025-03-25T02:54:00.024Z] [error]: Client must be connected before running operations
[2025-03-25T02:55:00.007Z] [error]: Client must be connected before running operations
[2025-03-25T02:55:00.008Z] [error]: Client must be connected before running operations
[2025-03-25T02:56:00.003Z] [error]: Client must be connected before running operations
[2025-03-25T02:56:00.005Z] [error]: Client must be connected before running operations
[2025-03-25T02:56:00.032Z] [error]: Client must be connected before running operations
[2025-03-25T02:56:00.034Z] [error]: Client must be connected before running operations
[2025-03-25T02:56:00.058Z] [error]: Client must be connected before running operations
[2025-03-25T02:56:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T02:57:00.046Z] [error]: Client must be connected before running operations
[2025-03-25T02:57:00.047Z] [error]: Client must be connected before running operations
[2025-03-25T02:57:00.048Z] [error]: Client must be connected before running operations
[2025-03-25T02:57:00.050Z] [error]: Client must be connected before running operations
[2025-03-25T02:57:00.058Z] [error]: Client must be connected before running operations
[2025-03-25T02:57:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T02:57:43.741Z] [error]: HIDE::404::NotFound::Route not exist!::
