[2025-05-16T14:13:05.046Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:05.048Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:05.099Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:05.200Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:05.350Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:05.552Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:05.804Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:06.106Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:06.457Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:06.858Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:07.309Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:07.811Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:08.312Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:08.814Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:09.316Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:09.818Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:10.320Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:10.821Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:11.322Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:11.823Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:12.326Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:12.827Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:13.329Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:13.831Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:14.333Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:14.834Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:20:24.595Z] [error]: HIDE::404::NotFound::Route is not exists::
[2025-05-16T14:20:24.861Z] [error]: HIDE::404::NotFound::Route is not exists::
[2025-05-16T14:22:28.233Z] [error]: HIDE::409::Conflict::User is exists!::
[2025-05-16T14:22:44.411Z] [error]: HIDE::400::ValidationError::"locationId" must only contain hexadecimal characters::
[2025-05-16T14:22:44.418Z] [error]: HIDE::400::ValidationError::"locationId" must only contain hexadecimal characters::
[2025-05-16T14:22:59.288Z] [error]: HIDE::400::ValidationError::"locationId" must only contain hexadecimal characters::
[2025-05-16T14:22:59.294Z] [error]: HIDE::400::ValidationError::"locationId" must only contain hexadecimal characters::
[2025-05-16T14:24:45.932Z] [error]: HIDE::400::ValidationError::"locationId" must only contain hexadecimal characters::
[2025-05-16T14:24:45.948Z] [error]: HIDE::400::ValidationError::"locationId" must only contain hexadecimal characters::
[2025-05-16T14:24:49.856Z] [error]: HIDE::400::ValidationError::"locationId" must only contain hexadecimal characters::
[2025-05-16T14:24:49.877Z] [error]: HIDE::400::ValidationError::"locationId" must only contain hexadecimal characters::
[2025-05-16T14:28:25.950Z] [error]: InvalidTokenError: Invalid token specified: missing part #2
[2025-05-16T14:28:25.951Z] [error]: HIDE::403::Token error::Invalid token payload!::
[2025-05-16T14:28:26.409Z] [error]: InvalidTokenError: Invalid token specified: missing part #2
[2025-05-16T14:28:26.410Z] [error]: HIDE::403::Token error::Invalid token payload!::
[2025-05-16T14:28:48.981Z] [error]: InvalidTokenError: Invalid token specified: missing part #2
[2025-05-16T14:28:48.981Z] [error]: HIDE::403::Token error::Invalid token payload!::
[2025-05-16T14:28:50.051Z] [error]: InvalidTokenError: Invalid token specified: missing part #2
[2025-05-16T14:28:50.052Z] [error]: HIDE::403::Token error::Invalid token payload!::
[2025-05-16T14:29:27.387Z] [error]: HIDE::403::Token error::Token not found!::
[2025-05-16T14:29:53.384Z] [error]: InvalidTokenError: Invalid token specified: missing part #2
[2025-05-16T14:29:53.384Z] [error]: HIDE::403::Token error::Invalid token payload!::
[2025-05-16T14:30:09.137Z] [error]: InvalidTokenError: Invalid token specified: missing part #2
[2025-05-16T14:30:09.138Z] [error]: HIDE::403::Token error::Invalid token payload!::
[2025-05-16T14:30:26.312Z] [error]: InvalidTokenError: Invalid token specified: missing part #2
[2025-05-16T14:30:26.312Z] [error]: HIDE::403::Token error::Invalid token payload!::
[2025-05-16T14:31:56.985Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:56.994Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.002Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.018Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.030Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.041Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.055Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.068Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.084Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.099Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.114Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.127Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.140Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.153Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.165Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.177Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.188Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.200Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.212Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.223Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.235Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.247Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.261Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.277Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.295Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.310Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.327Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.340Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.355Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.367Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.383Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.408Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.427Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.441Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.455Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.467Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.480Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.493Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.506Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.521Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.537Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.549Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.562Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.576Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.593Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.613Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.627Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.641Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.655Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.669Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.682Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.697Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.711Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.724Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.736Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
