[2025-06-03T00:03:38.001Z] [error]: Redis error: Error: Socket closed unexpectedly
[2025-06-03T00:03:42.132Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:42.140Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:42.201Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:42.309Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:42.464Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:42.669Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:42.925Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:43.290Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:43.648Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:44.054Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:44.510Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:45.016Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:45.524Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:46.029Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:46.533Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:47.040Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:47.548Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:48.059Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:48.590Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:49.095Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:49.599Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:50.104Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:50.611Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:51.116Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:51.620Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:52.125Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:52.635Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:53.139Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:53.644Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:54.149Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:54.656Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:55.142Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:55.613Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:56.080Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:56.543Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:57.012Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:57.482Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:57.949Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:58.417Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:58.882Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:59.345Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:03:59.807Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:04:00.268Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:04:00.732Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:04:01.199Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:04:01.665Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:04:02.132Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:04:02.595Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:04:03.057Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:04:03.528Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:04:03.993Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:04:04.454Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:04:04.919Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:04:05.387Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:04:05.860Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:04:06.332Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:04:06.804Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:04:07.330Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:04:08.816Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:04:09.286Z] [error]: Redis error: Error: Failed to connect
[2025-06-03T00:04:09.753Z] [error]: Redis error: Error: Failed to connect
