[2025-07-29T06:31:57.436Z] [error]: HIDE::404::NotFound::Route is not exists::
[2025-07-29T06:31:57.540Z] [error]: HIDE::404::NotFound::Route is not exists::
[2025-07-29T06:36:36.271Z] [error]: HIDE::404::NotFound::Username or password is not correct!::
[2025-07-29T06:36:48.587Z] [error]: HIDE::400::BadRequest::[
  {
    "validation": "regex",
    "code": "invalid_string",
    "message": "Password must contain at least one uppercase letter, one lowercase letter, one number, and one special character",
    "path": [
      "password"
    ]
  }
]::
[2025-07-29T06:41:54.649Z] [error]: HIDE::403::Forbidden::Token not found!::
[2025-07-29T07:02:11.329Z] [error]: Redis error: Error: Socket closed unexpectedly
[2025-07-29T07:02:25.765Z] [error]: Redis error: Error: Socket closed unexpectedly
[2025-07-29T07:02:25.781Z] [error]: Redis error: Error: Socket closed unexpectedly
[2025-07-29T07:02:25.808Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:25.868Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:25.975Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:26.128Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:26.341Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:26.600Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:26.903Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:27.258Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:27.662Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:28.150Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:28.655Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:29.174Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:29.683Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:30.189Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:30.700Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:31.211Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:31.719Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:32.226Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:32.731Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:33.244Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:33.749Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:34.257Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:34.763Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:35.267Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:35.776Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:36.284Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:36.793Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:37.300Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:37.806Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:38.415Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:38.929Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:39.439Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:39.957Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:40.466Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:40.970Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:41.473Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:41.977Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:42.481Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:42.990Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:43.498Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:44.003Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:44.507Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:45.010Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:45.515Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:46.018Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:46.525Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:47.029Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:47.532Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:48.034Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:48.538Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
